144,195
142,192
141,189
140,188
140,183
137,180
137,179
135,177
132,178
128,180
124,181
120,181
118,180
113,182
112,183
111,179
112,175
113,174
116,173
117,169
117,167
116,166
116,165
113,164
111,163
109,163
108,162
107,161
112,159
113,157
115,155
116,154
115,153
115,151
114,149
115,149
115,147
114,145
114,143
114,142
115,139
119,135
120,132
122,131
125,135
125,137
129,141
131,141
129,143
128,144
130,146
131,147
134,145
137,148
140,148
139,150
142,151
144,152
141,152
142,154
139,154
137,156
136,157
138,158
136,161
130,161
127,163
128,165
132,165
128,166
125,164
122,164
120,166
118,167
117,171
117,173
114,175
112,176
112,179
115,179
118,178
122,179
124,179
126,178
128,177
132,174
135,173
137,170
142,166
144,166
144,165
149,165
152,164
152,161
154,161
153,158
153,157
160,148
161,146
158,141
160,137
161,134
165,130
168,127
171,127
171,129
175,128
181,126
190,124
198,121
200,117
202,116
207,115
217,111
222,107
224,106
225,103
229,103
232,100
236,95
241,90
243,82
244,79
245,75
247,72
243,71
240,69
241,61
240,60
237,60
236,58
234,53
236,51
243,45
245,44
246,42
248,39
251,40
255,41
269,35
272,35
271,47
267,50
261,51
259,55
258,59
254,61
255,63
259,62
263,64
267,63
268,59
273,58
274,56
278,56
281,53
282,48
284,44
286,40
282,35
283,33
287,29
291,26
294,25
297,21
299,17
301,15
302,10
301,17
300,24
296,26
294,27
290,29
291,32
294,33
300,38
306,41
307,48
308,55
301,64
304,69
303,72
309,74
314,76
315,78
317,78
317,82
313,85
310,86
309,89
302,92
300,90
296,91
295,98
289,98
288,105
285,108
281,108
280,112
276,110
274,113
267,116
266,114
263,113
262,113
259,115
258,113
255,109
253,105
252,102
254,101
256,99
255,95
254,92
250,90
244,92
241,96
239,97
238,101
234,104
231,102
227,103
225,105
224,107
224,111
224,113
222,113
220,117
220,118
217,117
212,118
211,122
208,123
206,126
205,131
203,129
200,135
197,135
191,135
187,137
180,136
180,133
177,130
175,131
167,131
167,137
164,138
164,146
167,147
165,150
164,152
161,154
157,155
156,157
158,160
161,163
163,164
165,166
167,166
166,170
161,170
158,176
157,180
158,184
159,187
155,191
153,189
152,189
151,187
145,194
144,195
